produto_id,sku,ean,nome,marca,categoria,descricao,url_produto,preco_cop,preco_lista_cop,qtd_imagens,imagem_1,imagem_2,imagem_3,imagem_4,todas_imagens
13304,13097,7704768003190,Crema Antizox 1% Antimicótico Icom Caja x 20 g,Icom,Antimicóticos,.,https://www.farmaexpress.comhttps://www.farmaexpress.com/crema-antizox-1-antimicotico-icom-caja-20-g-100026211/p,25900.0,25900.0,1,https://coopidrogas.vteximg.com.br/arquivos/ids/36828898/antizox-1-crema-20-gr-icom.jpg,,,,https://coopidrogas.vteximg.com.br/arquivos/ids/36828898/antizox-1-crema-20-gr-icom.jpg
13233,12971,5902660000000,Curas 3M Nexcare Happy Kids Animales Caja x 20 Uds,Nexcare,Curas,.,https://www.farmaexpress.comhttps://www.farmaexpress.com/curas-3m-nexcare-happy-kids-animales-caja-20-uds-200041229/p,11000.0,11000.0,2,https://coopidrogas.vteximg.com.br/arquivos/ids/37014836/200046948_1.jpg,https://coopidrogas.vteximg.com.br/arquivos/ids/37014837/200046948_2.jpg,,,https://coopidrogas.vteximg.com.br/arquivos/ids/37014836/200046948_1.jpg | https://coopidrogas.vteximg.com.br/arquivos/ids/37014837/200046948_2.jpg
12847,12407,7702040000000,Aceite Para La Piel Bio Oil Frasco 60 Ml X 2 Uds Precio Especial.,Bio-Oil,Cicatrizantes,.,https://www.farmaexpress.comhttps://www.farmaexpress.com/aceite-para-la-piel-bio-oil-60ml-2uds-200026812/p,63100.0,63100.0,1,https://coopidrogas.vteximg.com.br/arquivos/ids/36786633/2-bio-oil-60-ml-pe.jpg,,,,https://coopidrogas.vteximg.com.br/arquivos/ids/36786633/2-bio-oil-60-ml-pe.jpg
12632,12109,7707222420328,Shampoo Anticaspa Anticaída Pilofast Frasco x 280 mL,Pharmaderm,Dermatología Capilar,.,https://www.farmaexpress.comhttps://www.farmaexpress.com/shampoo-anticaspa-anticaida-pilofast-280-ml-200042269/p,128850.0,128850.0,1,https://coopidrogas.vteximg.com.br/arquivos/ids/36915644/chapilofast-280-ml.jpg,,,,https://coopidrogas.vteximg.com.br/arquivos/ids/36915644/chapilofast-280-ml.jpg
12570,12038,7500435181068,Ungüento Tópico Vick Vaporub Frasco X 100 G.,Vick,Descongestionantes,.,https://www.farmaexpress.comhttps://www.farmaexpress.com/unguento-topico-vick-vaporub-frasco-100-g-200042243/p,38900.0,38900.0,1,https://coopidrogas.vteximg.com.br/arquivos/ids/36915642/vick-vaporub-100-gr.jpg,,,,https://coopidrogas.vteximg.com.br/arquivos/ids/36915642/vick-vaporub-100-gr.jpg
12369,11756,7705959885793,Solución Tópica Minoxidil Forte 5% Genfar Frasco x 60 mL,Genfar,Dermatología Capilar,Solución Tópica Minoxidil Forte 5% Genfar Frasco X 60 mL.,https://www.farmaexpress.comhttps://www.farmaexpress.com/solucion-topica-minoxidil-forte-5-genfar-60-ml-100026869/p,55900.0,55900.0,1,https://coopidrogas.vteximg.com.br/arquivos/ids/37002255/minoxidil-5-locion-60-mililitros-gf.jpg,,,,https://coopidrogas.vteximg.com.br/arquivos/ids/37002255/minoxidil-5-locion-60-mililitros-gf.jpg
12255,11607,7707228364077,Jeringa Insulina desechable AlfaSafe 1 mL 27 g 1/2 Caja x 100 Uds,Alfa Safe,Insumos Hospitalarios,Jeringa Insulina Desechable Alfasafe 1 mL 27 G 1/2 Caja X 100 Uds.,https://www.farmaexpress.comhttps://www.farmaexpress.com/jeringa-insulina-alfasafe-1ml-27g-1-2-100ud-200025151/p,39500.0,39500.0,1,https://coopidrogas.vteximg.com.br/arquivos/ids/36993559/jeringa-alfa-ins1-ml-27gx1213mm100un.jpg,,,,https://coopidrogas.vteximg.com.br/arquivos/ids/36993559/jeringa-alfa-ins1-ml-27gx1213mm100un.jpg
11795,11011,7707300000000,Cánula Nasal Inverfarma Adulto 7 M Paquete X 1 Ud.,Inverfarma,Implementos y Accesorios de Terapia Respiratoria,.,https://www.farmaexpress.comhttps://www.farmaexpress.com/canula-nasal-inverfarma-adulto-7-m-paquete-1-ud-200040288/p,18900.0,18900.0,1,https://coopidrogas.vteximg.com.br/arquivos/ids/36784944/canula-nasal-7-mts-adulto-inverfarma.jpg,,,,https://coopidrogas.vteximg.com.br/arquivos/ids/36784944/canula-nasal-7-mts-adulto-inverfarma.jpg
11610,10760,7707210531425,Forz Sport Salicilato Solución Aerosol X 200 Ml.,Gerco,Dolor General,.,https://www.farmaexpress.comhttps://www.farmaexpress.com/forz-sport-salicilato-solucion-aerosol-200-ml-100026622/p,68900.0,68900.0,1,https://coopidrogas.vteximg.com.br/arquivos/ids/36991576/forz-sport-spray-x-200ml.jpg,,,,https://coopidrogas.vteximg.com.br/arquivos/ids/36991576/forz-sport-spray-x-200ml.jpg
11487,10596,7702057804503,Gastrofast Advance Protección Prolongada Menta Frasco X 240 Ml.,Tecnoquímicas,Bienestar Digestivo,.,https://www.farmaexpress.comhttps://www.farmaexpress.com/gastrofast-advance-proteccion-prolongada-240ml-100026554/p,65200.0,65200.0,1,https://coopidrogas.vteximg.com.br/arquivos/ids/36908152/gastrofast-advance-240-ml.jpg,,,,https://coopidrogas.vteximg.com.br/arquivos/ids/36908152/gastrofast-advance-240-ml.jpg
11179,10242,7702132009731,Suspensión Oral Advil Children Frasco x 60 mL,Advil,Dolor Niños,Advil Children suspension oral alivia el dolor y la fiebre en minutos y hasta por 8 horas. Alivio en 15 minutos despues de la administracion de la dosis.,https://www.farmaexpress.comhttps://www.farmaexpress.com/suspension-oral-advil-children-frasco-60-ml-100006091/p,26400.0,26400.0,1,https://coopidrogas.vteximg.com.br/arquivos/ids/37014859/100006091_1.jpg,,,,https://coopidrogas.vteximg.com.br/arquivos/ids/37014859/100006091_1.jpg
11127,10190,7702560000102,Laxante Salino Citromel Líquido Frasco x 310 mL,Jgb,Bienestar Digestivo,Aliado para aliviar el estreñimiento de forma efectiva. Ayuda a promover y regular el flujo de evacuacion intestinal- a partir de los 6 año- una solucion practica y confiable para el cuidado digestivo,https://www.farmaexpress.comhttps://www.farmaexpress.com/laxante-salino-citromel-liquido-frasco-310-ml-100002314/p,24900.0,24900.0,1,https://coopidrogas.vteximg.com.br/arquivos/ids/36990603/citromel-liquido-310-ml.jpg,,,,https://coopidrogas.vteximg.com.br/arquivos/ids/36990603/citromel-liquido-310-ml.jpg
10533,12317,7707228360970,Venda de Yeso Alfa Safe Blanca 6 x 5 Yd Bolsa x 1 Ud,Alfa Safe,Vendas,.,https://www.farmaexpress.comhttps://www.farmaexpress.com/venda-de-yeso-alfa-safe-blanca-6-5-yd-bolsa-1-ud-200038944/p,8500.0,8500.0,1,https://coopidrogas.vteximg.com.br/arquivos/ids/36997576/vendas-yeso-blanca-alfasafe-6x5.jpg,,,,https://coopidrogas.vteximg.com.br/arquivos/ids/36997576/vendas-yeso-blanca-alfasafe-6x5.jpg
9724,9722,7707670401153,Medias Medicadas Medivaric Antifatiga-Antivárice Baja Compresión Cadera Transparente Negro M Caja X 1 Par.,NTI,Traumatología,.,https://www.farmaexpress.comhttps://www.farmaexpress.com/medias-medivaric-antifatiga-baja-compresion-m-200037002/p,59900.0,59900.0,1,https://coopidrogas.vteximg.com.br/arquivos/ids/36966932/media-mediva-caderam-negro-baja-comnti.jpg,,,,https://coopidrogas.vteximg.com.br/arquivos/ids/36966932/media-mediva-caderam-negro-baja-comnti.jpg
9363,9359,7501001168797,Bálsamo Vick Baby Balm Caja x 50 g,Vick,Descongestionantes,Bálsamo Vick Baby Balm Caja X 50 G.,https://www.farmaexpress.comhttps://www.farmaexpress.com/balsamo-vick-baby-balm-caja-50g-200035594/p,25800.0,25800.0,1,https://coopidrogas.vteximg.com.br/arquivos/ids/36993859/vick-baby-balm-50-gr.jpg,,,,https://coopidrogas.vteximg.com.br/arquivos/ids/36993859/vick-baby-balm-50-gr.jpg
9261,9259,7702098038318,Micropore 3M Nexcare Piel 24 Mm X 3 M Paquete X 3 Uds Pague 2 Lleve 3.,Nexcare,Cinta Microporosa,.,https://www.farmaexpress.comhttps://www.farmaexpress.com/micropore-nexcare-piel-24mm-3uds-pague-2-lleve-3-200035295/p,14800.0,14800.0,1,https://coopidrogas.vteximg.com.br/arquivos/ids/36993829/micrpiel-1-pul-24x3-pag-2-llev-3-und.jpg,,,,https://coopidrogas.vteximg.com.br/arquivos/ids/36993829/micrpiel-1-pul-24x3-pag-2-llev-3-und.jpg
9172,9162,7707355401072,Ortopédico Advance Rodillera Abierta Universal Caja X 1 Ud.,NTI,Traumatología,.,https://www.farmaexpress.comhttps://www.farmaexpress.com/ortopedico-advance-rodillera-abierta-universal-1ud-200034907/p,47000.0,47000.0,1,https://coopidrogas.vteximg.com.br/arquivos/ids/36993828/ortopedico-rodillera-universal-advannti.jpg,,,,https://coopidrogas.vteximg.com.br/arquivos/ids/36993828/ortopedico-rodillera-universal-advannti.jpg
8737,8730,7707270000000,Ácido Salicílico Pd Paquete X 10 G.,Productos Drogam,Droga Blanca,.,https://www.farmaexpress.comhttps://www.farmaexpress.com/acido-salicilico-pd-paquete-10g-200033152/p,1400.0,1400.0,1,https://coopidrogas.vteximg.com.br/arquivos/ids/36781666/acido-salicilico-10-gr-drogam.jpg,,,,https://coopidrogas.vteximg.com.br/arquivos/ids/36781666/acido-salicilico-10-gr-drogam.jpg
8710,8734,7704768004371,Gel Exfoliante Astringente Icom Antisef Para Puntos Negros Tubo X 150 G.,Icom,Dermatología Facial,.,https://www.farmaexpress.comhttps://www.farmaexpress.com/gel-exfoliante-antisef-puntos-negros-150g-200033138/p,29099.0,29099.0,1,https://coopidrogas.vteximg.com.br/arquivos/ids/36914480/gel-exfolia-pnegros-antisef-150-gr-icom.jpg,,,,https://coopidrogas.vteximg.com.br/arquivos/ids/36914480/gel-exfolia-pnegros-antisef-150-gr-icom.jpg
8467,8456,7707228361502,Gasa Alfa Safe Estéril No Tejida 3 X 3 Caja X 300 Uds.,Alfa Safe,Gasas,.,https://www.farmaexpress.comhttps://www.farmaexpress.com/gasa-alfa-safe-esteril-no-tejida-3-3-caja-300-uds-200026039/p,39900.0,39900.0,1,https://coopidrogas.vteximg.com.br/arquivos/ids/36995426/gasa-alfa-estno-tej3x3-50-sbs-x-6-und.jpg,,,,https://coopidrogas.vteximg.com.br/arquivos/ids/36995426/gasa-alfa-estno-tej3x3-50-sbs-x-6-und.jpg
8401,8392,7702560006395,Algodón JGB Zig Zag Paquete x 120 g Pague 100 g Lleve 125 g,Jgb,Algodón,El Algodon JGB es el complemento ideal en tu rutina de higiene personal. Usalo para limpiar y cuidar heridas o en esos momentos en que necesitas atencion rapida en casa.,https://www.farmaexpress.comhttps://www.farmaexpress.com/algodon-jgb-zig-zag-120-g-pague-100-g-lleve-125-g-200030954/p,8700.0,8700.0,1,https://coopidrogas.vteximg.com.br/arquivos/ids/37014254/200030954_1.jpg,,,,https://coopidrogas.vteximg.com.br/arquivos/ids/37014254/200030954_1.jpg
8105,8100,7707228362080,Cinta Quirúrgica Fixosafe Adhesiva No Tejida 10 Cm X 200 Cm Caja X 1 Rollo.,Fixosafe,Insumos Hospitalarios,.,https://www.farmaexpress.comhttps://www.farmaexpress.com/cinta-quirurgica-fixosafe-no-tejida-10x200cm-200028572/p,14000.0,14000.0,1,https://coopidrogas.vteximg.com.br/arquivos/ids/36997562/fixosafe-cinta-quirurgica-alfa-10cm-2mts.jpg,,,,https://coopidrogas.vteximg.com.br/arquivos/ids/36997562/fixosafe-cinta-quirurgica-alfa-10cm-2mts.jpg
8051,8048,7707228365845,Guantes de Nitrilo Alfa Safe Azul Talla M Sin Talco Caja x 100 Uds,Alfa Safe,Insumos Hospitalarios,Guantes De Nitrilo Alfa Safe Azul Talla M Sin Talco Caja X 100 Uds.,https://www.farmaexpress.comhttps://www.farmaexpress.com/guantes-nitrilo-alfasafe-azul-tallam-sin-100uds-200028365/p,33439.0,33439.0,1,https://coopidrogas.vteximg.com.br/arquivos/ids/36993760/guante-nitrilo-alfa-livazul-tm-100-und.jpg,,,,https://coopidrogas.vteximg.com.br/arquivos/ids/36993760/guante-nitrilo-alfa-livazul-tm-100-und.jpg
7922,7965,7707331801599,Curas Leukoplast Resistentes Al Agua Piel 19 mm x 72 mm BSN Medical Caja x 100 Uds,Leukoplast,Curas,Curas Resistentes Al Agua. Optima Protección Con Firme Y Delicada Adherencia. Permite La Transpiración De La Piel.,https://www.farmaexpress.comhttps://www.farmaexpress.com/curas-leukoplast-resistentes-agua-piel-19mm-72mm-200027423/p,12500.0,12500.0,1,https://coopidrogas.vteximg.com.br/arquivos/ids/37000153/curas-leukoplast-piel-100-und.jpg,,,,https://coopidrogas.vteximg.com.br/arquivos/ids/37000153/curas-leukoplast-piel-100-und.jpg
7644,7636,7707228364619,Gasa Alfa Safe Estéril No Tejida 4 X 4 Caja X 24 Uds.,Alfa Safe,Gasas,.,https://www.farmaexpress.comhttps://www.farmaexpress.com/gasa-alfa-safe-esteril-no-tejida-4-4-caja-24-uds-200025150/p,8500.0,8500.0,1,https://coopidrogas.vteximg.com.br/arquivos/ids/36993553/gasa-alfa-estno-tejida-4x4-10-cm-24-und.jpg,,,,https://coopidrogas.vteximg.com.br/arquivos/ids/36993553/gasa-alfa-estno-tejida-4x4-10-cm-24-und.jpg
6392,6392,7707364802181,Venda Elástica Medical Supplies Blanca 5 X 5 Yd X 1 Ud.,Medical Supplies,Vendas,.,https://www.farmaexpress.comhttps://www.farmaexpress.com/venda-elastica-medical-supplies-blanca-5-5yd-1-ud-200007150/p,2100.0,2100.0,1,https://coopidrogas.vteximg.com.br/arquivos/ids/36993108/venda-elastica-medical-5x5.jpg,,,,https://coopidrogas.vteximg.com.br/arquivos/ids/36993108/venda-elastica-medical-5x5.jpg
6061,6057,7703332003178,Jabón Alergibón Avena Medihealth Barra X 90 G.,Medihealth,Dermatología Corporal,.,https://www.farmaexpress.comhttps://www.farmaexpress.com/jabon-alergibon-avena-medihealth-barra-90-g-200002686/p,31799.0,31799.0,1,https://coopidrogas.vteximg.com.br/arquivos/ids/36778480/jabon-alergibon-avena-90-gr.jpg,,,,https://coopidrogas.vteximg.com.br/arquivos/ids/36778480/jabon-alergibon-avena-90-gr.jpg
